id,name,state,district,type,totalParcels,acquiredParcels,compensationPaid,legalCases,approvalDays,complexity,latitude,longitude,landowners,compensationBudgetCr,approvalsPending,clearanceStatus,expectedCompletion,agency,pendingParcels,progress,syntheticDelayDays,syntheticDelayedOver90Days,source
SYN-000060,Synthetic acquisition 60,Synthetic region,Synthetic district,Railway,1370,864,45.38,8,39,2,0.0,0.0,2620,1002.25,6,,,,,,91,1,"Synthetic — simulated, not government data"
SYN-000061,Synthetic acquisition 61,Synthetic region,Synthetic district,Railway,2458,1618,71.11,7,122,2,0.0,0.0,4809,1998.5,8,,,,,,126,1,"Synthetic — simulated, not government data"
SYN-000062,Synthetic acquisition 62,Synthetic region,Synthetic district,Power,4875,2525,62.24,6,120,1,0.0,0.0,7104,3020.57,,,,,,,91,1,"Synthetic — simulated, not government data"
SYN-000063,Synthetic acquisition 63,Synthetic region,Synthetic district,Highway,735,593,100.0,4,177,5,0.0,0.0,1191,,2,,,,,,81,0,"Synthetic — simulated, not government data"
SYN-000064,Synthetic acquisition 64,Synthetic region,Synthetic district,Irrigation,4974,2469,88.84,6,61,4,0.0,0.0,12285,4027.05,0,,,,,,80,0,"Synthetic — simulated, not government data"
SYN-000065,Synthetic acquisition 65,Synthetic region,Synthetic district,Power,2522,2464,95.26,2,141,3,0.0,0.0,6716,1761.49,6,,,,,,71,0,"Synthetic — simulated, not government data"
SYN-000066,Synthetic acquisition 66,Synthetic region,Synthetic district,Road infrastructure,272,199,87.41,6,144,1,0.0,0.0,340,112.11,1,,,,,,80,0,"Synthetic — simulated, not government data"
SYN-000067,Synthetic acquisition 67,Synthetic region,Synthetic district,Industrial,626,287,15.83,7,147,2,0.0,0.0,1347,83.53,3,,,,,,140,1,"Synthetic — simulated, not government data"
SYN-000068,Synthetic acquisition 68,Synthetic region,Synthetic district,Railway,2372,783,25.94,13,67,3,0.0,0.0,3370,1730.66,2,,,,,,135,1,"Synthetic — simulated, not government data"
SYN-000069,Synthetic acquisition 69,Synthetic region,Synthetic district,Railway,1969,1649,70.99,5,139,2,0.0,0.0,3674,440.02,4,,,,,,77,0,"Synthetic — simulated, not government data"
SYN-000070,Synthetic acquisition 70,Synthetic region,Synthetic district,Industrial,184,165,78.29,3,89,3,0.0,0.0,,,1,,,,,,66,0,"Synthetic — simulated, not government data"
SYN-000071,Synthetic acquisition 71,Synthetic region,Synthetic district,Railway,3217,111,24.18,20,126,3,0.0,0.0,5090,2177.31,,,,,,,181,1,"Synthetic — simulated, not government data"
SYN-000072,Synthetic acquisition 72,Synthetic region,Synthetic district,Power,1069,130,0.0,11,173,1,0.0,0.0,1410,657.41,7,,,,,,203,1,"Synthetic — simulated, not government data"
SYN-000073,Synthetic acquisition 73,Synthetic region,Synthetic district,Railway,4840,2090,43.79,9,58,3,0.0,0.0,10679,3709.89,8,,,,,,100,1,"Synthetic — simulated, not government data"
SYN-000074,Synthetic acquisition 74,Synthetic region,Synthetic district,Highway,2240,1427,22.15,6,102,5,0.0,0.0,,828.07,,,,,,,101,1,"Synthetic — simulated, not government data"
SYN-000075,Synthetic acquisition 75,Synthetic region,Synthetic district,Highway,252,167,85.42,6,108,3,0.0,0.0,,149.48,2,,,,,,73,0,"Synthetic — simulated, not government data"
SYN-000076,Synthetic acquisition 76,Synthetic region,Synthetic district,Power,775,465,56.52,3,122,3,0.0,0.0,930,402.82,4,,,,,,88,0,"Synthetic — simulated, not government data"
SYN-000077,Synthetic acquisition 77,Synthetic region,Synthetic district,Railway,3112,946,35.56,18,41,2,0.0,0.0,6561,2181.45,,,,,,,113,1,"Synthetic — simulated, not government data"
SYN-000078,Synthetic acquisition 78,Synthetic region,Synthetic district,Irrigation,3703,1851,26.51,9,2,2,0.0,0.0,10170,3321.32,7,,,,,,73,0,"Synthetic — simulated, not government data"
SYN-000079,Synthetic acquisition 79,Synthetic region,Synthetic district,Road infrastructure,1879,32,36.79,10,90,4,0.0,0.0,4448,965.98,0,,,,,,135,1,"Synthetic — simulated, not government data"
SYN-000080,Synthetic acquisition 80,Synthetic region,Synthetic district,Irrigation,1941,816,37.39,7,109,4,0.0,0.0,2302,341.14,2,,,,,,107,1,"Synthetic — simulated, not government data"
SYN-000081,Synthetic acquisition 81,Synthetic region,Synthetic district,Industrial,4335,2160,89.34,9,100,4,0.0,0.0,,1554.74,1,,,,,,121,1,"Synthetic — simulated, not government data"
SYN-000082,Synthetic acquisition 82,Synthetic region,Synthetic district,Highway,2287,2034,100.0,3,47,5,0.0,0.0,5944,1131.09,1,,,,,,49,0,"Synthetic — simulated, not government data"
SYN-000083,Synthetic acquisition 83,Synthetic region,Synthetic district,Industrial,737,108,38.84,21,71,2,0.0,0.0,1254,,5,,,,,,151,1,"Synthetic — simulated, not government data"
SYN-000084,Synthetic acquisition 84,Synthetic region,Synthetic district,Railway,1955,988,70.79,13,7,3,0.0,0.0,,606.32,7,,,,,,76,0,"Synthetic — simulated, not government data"
SYN-000085,Synthetic acquisition 85,Synthetic region,Synthetic district,Industrial,3722,2230,40.73,5,82,4,0.0,0.0,9482,2222.95,1,,,,,,89,0,"Synthetic — simulated, not government data"
SYN-000086,Synthetic acquisition 86,Synthetic region,Synthetic district,Highway,2398,553,32.06,17,48,4,0.0,0.0,,1048.65,1,,,,,,209,1,"Synthetic — simulated, not government data"
SYN-000087,Synthetic acquisition 87,Synthetic region,Synthetic district,Industrial,1723,1152,65.79,8,24,3,0.0,0.0,2134,510.01,5,,,,,,93,1,"Synthetic — simulated, not government data"
SYN-000088,Synthetic acquisition 88,Synthetic region,Synthetic district,Road infrastructure,4866,1825,78.39,16,50,1,0.0,0.0,,,6,,,,,,95,1,"Synthetic — simulated, not government data"
SYN-000089,Synthetic acquisition 89,Synthetic region,Synthetic district,Irrigation,3707,1017,47.02,11,132,5,0.0,0.0,4377,2741.8,8,,,,,,165,1,"Synthetic — simulated, not government data"
SYN-000090,Synthetic acquisition 90,Synthetic region,Synthetic district,Irrigation,4817,1269,0.0,13,11,2,0.0,0.0,11329,1869.49,0,,,,,,156,1,"Synthetic — simulated, not government data"
SYN-000091,Synthetic acquisition 91,Synthetic region,Synthetic district,Railway,2538,889,41.37,12,9,4,0.0,0.0,5039,968.85,5,,,,,,81,0,"Synthetic — simulated, not government data"
SYN-000092,Synthetic acquisition 92,Synthetic region,Synthetic district,Road infrastructure,1017,835,100.0,6,135,2,0.0,0.0,2691,804.91,3,,,,,,50,0,"Synthetic — simulated, not government data"
SYN-000093,Synthetic acquisition 93,Synthetic region,Synthetic district,Road infrastructure,1202,808,76.82,11,63,3,0.0,0.0,1321,1049.93,8,,,,,,92,1,"Synthetic — simulated, not government data"
SYN-000094,Synthetic acquisition 94,Synthetic region,Synthetic district,Road infrastructure,3381,1160,19.47,11,20,2,0.0,0.0,6882,2106.37,8,,,,,,126,1,"Synthetic — simulated, not government data"
SYN-000095,Synthetic acquisition 95,Synthetic region,Synthetic district,Industrial,4524,1642,76.71,11,148,2,0.0,0.0,,4066.28,3,,,,,,134,1,"Synthetic — simulated, not government data"
SYN-000096,Synthetic acquisition 96,Synthetic region,Synthetic district,Power,2274,1203,37.06,8,59,4,0.0,0.0,3730,904.16,2,,,,,,77,0,"Synthetic — simulated, not government data"
SYN-000097,Synthetic acquisition 97,Synthetic region,Synthetic district,Power,4140,3118,62.64,9,49,3,0.0,0.0,5033,2560.22,2,,,,,,83,0,"Synthetic — simulated, not government data"
SYN-000098,Synthetic acquisition 98,Synthetic region,Synthetic district,Industrial,1577,840,36.5,7,136,4,0.0,0.0,2763,1121.86,3,,,,,,118,1,"Synthetic — simulated, not government data"
SYN-000099,Synthetic acquisition 99,Synthetic region,Synthetic district,Highway,3628,1361,77.92,14,147,1,0.0,0.0,5382,2274.71,7,,,,,,125,1,"Synthetic — simulated, not government data"
SYN-000100,Synthetic acquisition 100,Synthetic region,Synthetic district,Highway,387,295,53.38,7,67,1,0.0,0.0,441,,8,,,,,,89,0,"Synthetic — simulated, not government data"
SYN-000101,Synthetic acquisition 101,Synthetic region,Synthetic district,Railway,2105,465,53.24,14,132,3,0.0,0.0,,1788.92,3,,,,,,144,1,"Synthetic — simulated, not government data"
SYN-000102,Synthetic acquisition 102,Synthetic region,Synthetic district,Irrigation,3627,1425,0.0,12,99,3,0.0,0.0,9489,3071.66,6,,,,,,152,1,"Synthetic — simulated, not government data"
SYN-000103,Synthetic acquisition 103,Synthetic region,Synthetic district,Industrial,2522,1739,71.6,3,95,1,0.0,0.0,,824.87,5,,,,,,63,0,"Synthetic — simulated, not government data"
SYN-000104,Synthetic acquisition 104,Synthetic region,Synthetic district,Highway,4736,3900,70.46,4,95,5,0.0,0.0,12129,3051.98,3,,,,,,93,1,"Synthetic — simulated, not government data"
SYN-000105,Synthetic acquisition 105,Synthetic region,Synthetic district,Irrigation,1671,375,24.16,13,177,1,0.0,0.0,3956,1105.28,8,,,,,,184,1,"Synthetic — simulated, not government data"
SYN-000106,Synthetic acquisition 106,Synthetic region,Synthetic district,Road infrastructure,677,296,78.59,8,74,3,0.0,0.0,854,278.29,6,,,,,,85,0,"Synthetic — simulated, not government data"
SYN-000107,Synthetic acquisition 107,Synthetic region,Synthetic district,Irrigation,4215,3635,90.3,8,127,3,0.0,0.0,8391,2520.86,2,,,,,,97,1,"Synthetic — simulated, not government data"
SYN-000108,Synthetic acquisition 108,Synthetic region,Synthetic district,Railway,4823,2780,34.19,3,164,4,0.0,0.0,5497,2971.06,0,,,,,,98,1,"Synthetic — simulated, not government data"
SYN-000109,Synthetic acquisition 109,Synthetic region,Synthetic district,Industrial,118,24,25.38,12,45,1,0.0,0.0,188,22.11,6,,,,,,155,1,"Synthetic — simulated, not government data"
SYN-000110,Synthetic acquisition 110,Synthetic region,Synthetic district,Power,3961,2283,47.35,5,114,3,0.0,0.0,6641,3509.82,3,,,,,,103,1,"Synthetic — simulated, not government data"
SYN-000111,Synthetic acquisition 111,Synthetic region,Synthetic district,Power,2919,1311,66.39,4,93,5,0.0,0.0,7802,1084.66,0,,,,,,114,1,"Synthetic — simulated, not government data"
SYN-000112,Synthetic acquisition 112,Synthetic region,Synthetic district,Road infrastructure,4038,3363,93.13,5,41,3,0.0,0.0,9779,1554.9,3,,,,,,56,0,"Synthetic — simulated, not government data"
SYN-000113,Synthetic acquisition 113,Synthetic region,Synthetic district,Industrial,4690,2149,51.81,9,70,4,0.0,0.0,9033,2313.35,1,,,,,,99,1,"Synthetic — simulated, not government data"
SYN-000114,Synthetic acquisition 114,Synthetic region,Synthetic district,Highway,4491,3329,99.04,8,129,4,0.0,0.0,4625,,5,,,,,,64,0,"Synthetic — simulated, not government data"
SYN-000115,Synthetic acquisition 115,Synthetic region,Synthetic district,Irrigation,2157,1653,70.62,5,161,1,0.0,0.0,3858,1766.08,3,,,,,,70,0,"Synthetic — simulated, not government data"
SYN-000116,Synthetic acquisition 116,Synthetic region,Synthetic district,Industrial,4095,1351,63.63,8,72,4,0.0,0.0,6834,1104.25,3,,,,,,96,1,"Synthetic — simulated, not government data"
SYN-000117,Synthetic acquisition 117,Synthetic region,Synthetic district,Railway,4550,1973,50.49,11,173,3,0.0,0.0,5319,1591.81,7,,,,,,165,1,"Synthetic — simulated, not government data"
SYN-000118,Synthetic acquisition 118,Synthetic region,Synthetic district,Road infrastructure,4154,3082,76.65,3,166,1,0.0,0.0,4732,3336.63,1,,,,,,87,0,"Synthetic — simulated, not government data"
SYN-000119,Synthetic acquisition 119,Synthetic region,Synthetic district,Irrigation,1735,106,22.58,16,172,3,0.0,0.0,2233,1394.11,3,,,,,,178,1,"Synthetic — simulated, not government data"
SYN-000120,Synthetic acquisition 120,Synthetic region,Synthetic district,Road infrastructure,3325,1533,44.66,11,135,1,0.0,0.0,5983,985.78,6,,,,,,134,1,"Synthetic — simulated, not government data"
SYN-000121,Synthetic acquisition 121,Synthetic region,Synthetic district,Power,1316,992,33.28,9,137,4,0.0,0.0,2711,350.79,8,,,,,,136,1,"Synthetic — simulated, not government data"
SYN-000122,Synthetic acquisition 122,Synthetic region,Synthetic district,Industrial,3967,3221,100.0,6,145,3,0.0,0.0,7782,1078.3,5,,,,,,93,1,"Synthetic — simulated, not government data"
SYN-000123,Synthetic acquisition 123,Synthetic region,Synthetic district,Road infrastructure,2039,1180,44.66,9,40,3,0.0,0.0,4085,1282.44,7,,,,,,82,0,"Synthetic — simulated, not government data"
SYN-000124,Synthetic acquisition 124,Synthetic region,Synthetic district,Industrial,1014,992,48.55,0,107,4,0.0,0.0,2554,271.52,,,,,,,79,0,"Synthetic — simulated, not government data"
SYN-000125,Synthetic acquisition 125,Synthetic region,Synthetic district,Industrial,2924,1797,87.24,12,19,4,0.0,0.0,4213,2464.47,1,,,,,,94,1,"Synthetic — simulated, not government data"
SYN-000126,Synthetic acquisition 126,Synthetic region,Synthetic district,Highway,1243,557,87.01,15,26,4,0.0,0.0,1292,841.85,0,,,,,,79,0,"Synthetic — simulated, not government data"
SYN-000127,Synthetic acquisition 127,Synthetic region,Synthetic district,Power,2319,1794,81.3,4,27,1,0.0,0.0,2792,1928.27,2,,,,,,60,0,"Synthetic — simulated, not government data"
SYN-000128,Synthetic acquisition 128,Synthetic region,Synthetic district,Highway,1429,332,58.8,13,171,4,0.0,0.0,3646,776.56,5,,,,,,151,1,"Synthetic — simulated, not government data"
SYN-000129,Synthetic acquisition 129,Synthetic region,Synthetic district,Railway,4127,3441,75.76,3,172,3,0.0,0.0,,1285.25,5,,,,,,95,1,"Synthetic — simulated, not government data"
SYN-000130,Synthetic acquisition 130,Synthetic region,Synthetic district,Power,2678,1202,53.94,7,30,3,0.0,0.0,3005,415.65,2,,,,,,59,0,"Synthetic — simulated, not government data"
SYN-000131,Synthetic acquisition 131,Synthetic region,Synthetic district,Industrial,1282,950,61.12,6,42,5,0.0,0.0,3586,317.44,3,,,,,,81,0,"Synthetic — simulated, not government data"
SYN-000132,Synthetic acquisition 132,Synthetic region,Synthetic district,Irrigation,1008,482,29.73,13,165,4,0.0,0.0,2035,666.55,8,,,,,,131,1,"Synthetic — simulated, not government data"
SYN-000133,Synthetic acquisition 133,Synthetic region,Synthetic district,Railway,4486,1246,72.01,15,142,2,0.0,0.0,8842,2913.36,6,,,,,,129,1,"Synthetic — simulated, not government data"
SYN-000134,Synthetic acquisition 134,Synthetic region,Synthetic district,Road infrastructure,4829,3648,43.68,4,142,5,0.0,0.0,9842,1483.8,5,,,,,,75,0,"Synthetic — simulated, not government data"
SYN-000135,Synthetic acquisition 135,Synthetic region,Synthetic district,Road infrastructure,2908,1521,32.52,6,1,4,0.0,0.0,,1658.24,2,,,,,,102,1,"Synthetic — simulated, not government data"
SYN-000136,Synthetic acquisition 136,Synthetic region,Synthetic district,Industrial,3771,1112,0.0,19,93,4,0.0,0.0,8830,,0,,,,,,141,1,"Synthetic — simulated, not government data"
SYN-000137,Synthetic acquisition 137,Synthetic region,Synthetic district,Highway,2698,2540,83.8,2,60,5,0.0,0.0,4973,1443.77,2,,,,,,33,0,"Synthetic — simulated, not government data"
SYN-000138,Synthetic acquisition 138,Synthetic region,Synthetic district,Industrial,2910,1676,70.71,5,62,4,0.0,0.0,3286,1466.1,6,,,,,,95,1,"Synthetic — simulated, not government data"
SYN-000139,Synthetic acquisition 139,Synthetic region,Synthetic district,Road infrastructure,4765,3076,51.3,7,9,2,0.0,0.0,7937,2572.46,6,,,,,,89,0,"Synthetic — simulated, not government data"
SYN-000140,Synthetic acquisition 140,Synthetic region,Synthetic district,Irrigation,3704,366,41.56,10,71,1,0.0,0.0,10155,1886.23,3,,,,,,163,1,"Synthetic — simulated, not government data"
SYN-000141,Synthetic acquisition 141,Synthetic region,Synthetic district,Road infrastructure,4171,2115,29.23,7,148,2,0.0,0.0,,,8,,,,,,146,1,"Synthetic — simulated, not government data"
SYN-000142,Synthetic acquisition 142,Synthetic region,Synthetic district,Irrigation,3884,616,31.87,19,3,3,0.0,0.0,3907,2874.89,1,,,,,,146,1,"Synthetic — simulated, not government data"
SYN-000143,Synthetic acquisition 143,Synthetic region,Synthetic district,Road infrastructure,4323,1369,45.51,14,88,2,0.0,0.0,9509,2386.17,,,,,,,134,1,"Synthetic — simulated, not government data"
